# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Google Ads Account
# Property: olera.care - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251014
# End date: 20251020
Page title and screen class,Views,Active users,Sessions,Engagement rate,Bounce rate,Average engagement time per active user,Views per active user,Event count,Key events,Total revenue
We connect families to senior care professionals | Olera,309,235,244,0.20491803278688525,0.7950819672131147,18.27659574468085,1.3148936170212766,1187,0,0
Caring for an Elderly Loved One? Find the Right Support Today,263,205,232,0.5689655172413793,0.43103448275862066,17.58048780487805,1.2829268292682927,757,0,0
How do you manage caregiving with a family and work without feeling totally overwhelmed?,168,140,161,0.2236024844720497,0.7763975155279503,20.285714285714285,1.2,489,0,0
Feeling lost. Can't afford Mom's care,137,120,133,0.2857142857142857,0.7142857142857143,21.008333333333333,1.1416666666666666,417,0,0
"The Mariemont Care Center, Cincinnati OH: Pricing & Availability | Olera.care",82,55,63,0.6825396825396826,0.31746031746031744,35.2,1.490909090909091,276,0,0
Olera - Caregiver Relief Network,68,55,65,0.38461538461538464,0.6153846153846154,27.727272727272727,1.2363636363636363,192,0,0
What is the VA Caregiver Functional Assessment?,57,48,50,0.78,0.22,108.875,1.1875,202,0,0
"Eagle Village, Bradenton FL: Pricing & Availability | Olera.care",52,45,46,0.717391304347826,0.2826086956521739,47.2,1.1555555555555554,185,0,0
"Best Home Health Care in St. Petersburg, FL - Olera",48,4,7,1,0,229.5,12,65,0,0
Contact Olera - Your Partner in Caregiving Support,43,37,40,0.9,0.1,22.35135135135135,1.162162162162162,95,0,0
Senior Communities in Florida: A Comprehensive Overview & Guide - Olera,43,43,43,0.27906976744186046,0.7209302325581395,2.7674418604651163,1,148,0,0
Caregiver Support: Tips and Resources for Home Caregivers,41,25,36,0.8611111111111112,0.1388888888888889,25.24,1.64,59,0,0
"Best Independent Living in Philadelphia, PA - Olera",37,37,37,0.5405405405405406,0.4594594594594595,9.162162162162161,1,169,0,0
"Best Senior Communities in Fort Washington, MD: Price Comparison",37,37,37,0.5945945945945946,0.40540540540540543,9.08108108108108,1,159,0,0
"Best Senior Communities in Tredyffrin Township, PA: Price Comparison",35,35,35,0.5428571428571428,0.45714285714285713,8.4,1,147,0,0
Senior Communities in Washinton DC: A Comprehensive Overview & Guide - Olera,35,35,35,0.6,0.4,9.314285714285715,1,162,0,0
"Best Independent Living in Buenaventura Lakes, FL: Price Comparison",34,34,34,0.47058823529411764,0.5294117647058824,7.852941176470588,1,144,0,0
"Best Independent Living in Radnor, PA: Price Comparison",34,34,34,0.5588235294117647,0.4411764705882353,9.294117647058824,1,155,0,0
"Best Senior Communities in Hampton, VA: Price Comparison",34,34,34,0.4411764705882353,0.5588235294117647,7.588235294117647,1,150,0,0
Paying for Senior Care & Living: Exploring Payment Options,34,29,33,0.9090909090909091,0.09090909090909091,167.68965517241378,1.1724137931034482,63,0,0
"Best Independent Living in Beaverton, OR: Price Comparison",33,33,33,0.5454545454545454,0.45454545454545453,9.121212121212121,1,147,0,0
"Best Independent Living in Ruskin, FL: Price Comparison",33,33,33,0.6666666666666666,0.3333333333333333,10.151515151515152,1,141,0,0
"Best Senior Communities in Potomac, MD: Price Comparison",33,33,33,0.48484848484848486,0.5151515151515151,8.303030303030303,1,146,0,0
Discover Assisted Living for Seniors: A Comprehensive Guide,32,29,30,0.9666666666666667,0.03333333333333333,21.586206896551722,1.103448275862069,59,0,0
"Best Assisted Living in McLean, VA: Price Comparison",31,31,31,0.6129032258064516,0.3870967741935484,9.387096774193548,1,133,0,0
"Grundy Tower, Bristol PA: Pricing & Availability | Olera.care",31,31,31,0.7419354838709677,0.25806451612903225,9.806451612903226,1,141,0,0
"Best Independent Living in St. Cloud, FL: Price Comparison",30,30,30,0.6,0.4,9.866666666666667,1,136,0,0
"Best Senior Communities in Antelope, CA: Price Comparison",30,29,29,0.4827586206896552,0.5172413793103449,19.96551724137931,1.0344827586206897,126,0,0
Non-Medical Home Care: A Comprehensive Guide to Senior Assistance,30,28,28,0.9642857142857143,0.03571428571428571,27.428571428571427,1.0714285714285714,45,0,0
Types of Senior Care: Find the Best Care for Your Loved Ones,30,26,26,0.9615384615384616,0.038461538461538464,96,1.1538461538461537,49,0,0
"Best Independent Living in Upper Darby, PA: Price Comparison",29,29,29,0.5517241379310345,0.4482758620689655,9.03448275862069,1,128,0,0
Grow your senior care business - Olera for Providers,28,23,26,0.8846153846153846,0.11538461538461539,21.52173913043478,1.2173913043478262,57,0,0
Best Assisted Living in DC: Price Comparison,27,26,26,0.5384615384615384,0.46153846153846156,15.26923076923077,1.0384615384615385,125,0,0
"Best Senior Communities in Riverside, CA: Price Comparison",27,27,27,0.5185185185185185,0.48148148148148145,8.777777777777779,1,120,0,0
"Best Senior Communities in Yorba Linda, CA: Price Comparison",27,27,27,0.5555555555555556,0.4444444444444444,9.296296296296296,1,120,0,0
"Mariblu Hunters Creek, Kissimmee FL: Pricing & Availability | Olera.care",27,27,27,0.8148148148148148,0.18518518518518517,10.62962962962963,1,130,0,0
"Best Independent Living in Riverside, CA: Price Comparison",26,26,26,0.6538461538461539,0.34615384615384615,10.615384615384615,1,119,0,0
"Stone River Retirement Community, Bradenton FL: Pricing & Availability | Olera.care",26,26,26,0.8076923076923077,0.19230769230769232,10.307692307692308,1,124,0,0
"Best Senior Communities in Roseville, CA: Price Comparison",25,25,25,0.6,0.4,9.92,1,111,0,0
"Best Senior Communities in Sacramento, CA - Olera",25,25,25,0.64,0.36,10.56,1,112,0,0
"Best Senior Communities in SeaTac, WA: Price Comparison",25,25,25,0.76,0.24,11.56,1,113,0,0
"The Gardens at Jackson Creek Independent Senior Living, Independence MO: Pricing & Availability | Olera.care",25,25,25,0.72,0.28,10.08,1,123,0,0
"Best Assisted Living in Claremont, CA: Price Comparison",24,24,24,0.6666666666666666,0.3333333333333333,10.458333333333334,1,104,0,0
"Best Assisted Living in Federal Way, WA: Price Comparison",24,24,24,0.6666666666666666,0.3333333333333333,10.375,1,107,0,0
