# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Google Ads Account
# Property: olera.care - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260407
# End date: 20260413
Page title and screen class,Views,Active users,Sessions,Engagement rate,Bounce rate,Average engagement time per active user,Views per active user,Event count,Key events,Total revenue
Olera | Find Senior Care Near You,2848,727,992,0.48689516129032256,0.5131048387096774,72.24071526822559,3.9174690508940855,6186,0,0
Provider Not Found | Olera,137,118,126,0.20634920634920634,0.7936507936507936,2.4152542372881354,1.1610169491525424,511,0,0
Texas Benefits | Benefits Hub | Olera,88,9,21,0.9523809523809523,0.047619047619047616,225.33333333333334,9.777777777777779,108,0,0
MedJobs for Providers — Student Caregiver Staffing | Olera,79,37,64,0.984375,0.015625,22.324324324324323,2.135135135135135,86,0,0
Texas Weatherization Assistance Program | Texas | Benefits Hub | Olera,64,2,5,1,0,546,32,89,0,0
Benefits Hub | Olera,52,27,42,0.9523809523809523,0.047619047619047616,42.81481481481482,1.9259259259259258,68,0,0
For Providers | Reach More Families on Olera,52,40,45,0.9333333333333333,0.06666666666666667,25.85,1.3,75,0,0
Albus Dumbledore — Student Caregiver | Olera MedJobs,45,16,30,0.9666666666666667,0.03333333333333333,73.6875,2.8125,79,0,0
Find Senior Care Services Near You | Olera,45,38,40,0.95,0.05,30.81578947368421,1.1842105263157894,59,0,0
"Willow Bend Villas, Raytown MO: Pricing & Availability | Olera.care",43,25,34,0.6764705882352942,0.3235294117647059,32.84,1.72,125,0,0
How to Apply for Texas Weatherization Assistance Program | Texas | Olera,38,1,4,1,0,1373,38,56,0,0
Caregiver Support | Guides & Articles | Olera,37,30,32,1,0,37.9,1.2333333333333334,45,0,0
"THRYVE of Crestwood, Cicero IL: Pricing & Availability | Olera.care",37,24,31,0.6451612903225806,0.3548387096774194,100.25,1.5416666666666667,123,0,0
What is the VA Caregiver Functional Assessment? | Olera Caregiver Support,36,30,36,0.6111111111111112,0.3888888888888889,102.3,1.2,131,0,0
Senior Care Benefits Finder | Check Eligibility in 2 Minutes | Olera,35,29,33,0.8484848484848485,0.15151515151515152,52.758620689655174,1.206896551724138,66,0,0
Texas Weatherization Assistance Program Eligibility | Texas | Olera,32,1,4,1,0,702,32,39,0,0
Young Caregiver Community | Olera,30,1,1,1,0,1785,30,59,0,0
