# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Google Ads Account
# Property: olera.care - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260301
# End date: 20260331
Page title and screen class,Views,Active users,Sessions,Engagement rate,Bounce rate,Average engagement time per active user,Views per active user,Event count,Key events,Total revenue
Olera | Find Senior Care Near You,898,262,334,0.7125748502994012,0.2874251497005988,90.97709923664122,3.427480916030534,1716,0,0
Provider Not Found | Olera,632,537,575,0.2591304347826087,0.7408695652173913,3.636871508379888,1.1769087523277468,2270,0,0
We connect families to senior care professionals | Olera,227,151,161,0.33540372670807456,0.6645962732919255,9.410596026490067,1.5033112582781456,683,0,0
"Clarity Care Givers, Fishers IN: Pricing & Availability | Olera.care",72,72,72,0.9166666666666666,0.08333333333333333,12.76388888888889,1,344,0,0
"Grundy Tower, Bristol PA: Pricing & Availability | Olera.care",69,67,67,0.9253731343283582,0.07462686567164178,17.44776119402985,1.0298507462686568,322,0,0
"Mariblu Hunters Creek, Kissimmee FL: Pricing & Availability | Olera.care",67,67,67,0.9253731343283582,0.07462686567164178,12.08955223880597,1,325,0,0
"Arbor House, Wichita Falls TX: Pricing & Availability | Olera.care",63,63,63,0.9682539682539683,0.031746031746031744,12.507936507936508,1,309,0,0
"Stone River Retirement Community, Bradenton FL: Pricing & Availability | Olera.care",61,61,61,0.9672131147540983,0.03278688524590164,12.737704918032787,1,299,0,0
"Eastland Court Senior Apartments, Independence MO: Pricing & Availability | Olera.care",60,60,60,0.9666666666666667,0.03333333333333333,13.4,1,293,0,0
"Country Club Estates, Montgomery AL: Pricing & Availability | Olera.care",58,58,58,0.9482758620689655,0.05172413793103448,14.5,1,281,0,0
"Whitetail Springs Memory Care Community, Pittsburgh PA: Pricing & Availability | Olera.care",58,58,58,0.9655172413793104,0.034482758620689655,12.586206896551724,1,284,0,0
"Attivo Trail - Waukee, Waukee IA: Pricing & Availability | Olera.care",57,57,57,0.9122807017543859,0.08771929824561403,11.842105263157896,1,268,0,0
"The Vinings of Augusta, Augusta GA: Pricing & Availability | Olera.care",56,55,57,0.8947368421052632,0.10526315789473684,11.545454545454545,1.018181818181818,260,0,0
Cornerstone Caregiving - Olera,53,1,1,1,0,493,53,57,0,0
"(Test) Effy's Homecare, Houston TX: Pricing & Availability | Olera.care",47,30,32,0.96875,0.03125,26.466666666666665,1.5666666666666667,76,0,0
"Mercy Housing - Mercy Village, Joplin MO: Pricing & Availability | Olera.care",47,47,47,0.9361702127659575,0.06382978723404255,11.936170212765957,1,217,0,0
Not Found | Olera,47,33,37,0.6486486486486487,0.35135135135135137,18.545454545454547,1.4242424242424243,142,0,0
"Bowie Commons, Bowie MD: Pricing & Availability | Olera.care",45,31,36,0.5,0.5,41.096774193548384,1.4516129032258065,147,0,0
"(TEST) Aggie Independent Living, College Station TX: Pricing & Availability | Olera.care",44,32,35,0.9714285714285714,0.02857142857142857,12.34375,1.375,57,0,0
"Ridgeview Estates, Raymore MO: Pricing & Availability | Olera.care",44,32,36,0.5555555555555556,0.4444444444444444,42.625,1.375,142,0,0
