Country,Clicks,Impressions,CTR,Position
United States,2661,654653,0.41%,26.71
India,17,2591,0.66%,20.02
Philippines,16,1857,0.86%,12.95
Canada,7,3085,0.23%,10.46
South Africa,5,272,1.84%,25.28
Colombia,3,448,0.67%,23.62
Pakistan,2,455,0.44%,12.77
Peru,2,232,0.86%,30.41
Nigeria,2,175,1.14%,11.86
Mexico,1,1169,0.09%,20.08
France,1,501,0.2%,18.81
Indonesia,1,375,0.27%,24.21
Japan,1,239,0.42%,18.74
Israel,1,166,0.6%,23.87
Puerto Rico,1,127,0.79%,11.02
Kenya,1,104,0.96%,23.66
New Zealand,1,58,1.72%,16.69
Finland,1,53,1.89%,17.83
Brazil,0,4200,0%,31.86
United Kingdom,0,3637,0%,37.66
Germany,0,2279,0%,35.48
Ireland,0,1386,0%,38.85
Vietnam,0,1063,0%,33.36
Spain,0,677,0%,29.23
Switzerland,0,655,0%,37.4
Argentina,0,520,0%,27.12
Italy,0,503,0%,27.36
Turkey,0,438,0%,29.6
China,0,369,0%,7.93
Australia,0,343,0%,28.13
Ukraine,0,330,0%,27.89
Saudi Arabia,0,308,0%,33.4
Egypt,0,261,0%,31.61
Chile,0,239,0%,28.25
Ecuador,0,232,0%,28.02
Thailand,0,230,0%,22.68
Poland,0,215,0%,23.79
Netherlands,0,208,0%,21.31
South Korea,0,205,0%,23.44
Hong Kong,0,200,0%,10.81
Morocco,0,185,0%,34.58
Dominican Republic,0,178,0%,13.71
Russia,0,171,0%,15.28
Bangladesh,0,164,0%,13.36
Malaysia,0,160,0%,20.51
Romania,0,159,0%,28.31
Algeria,0,157,0%,32.92
Singapore,0,148,0%,9.57
Taiwan,0,136,0%,21.82
Greece,0,135,0%,36.24
Portugal,0,133,0%,28.03
United Arab Emirates,0,129,0%,26.43
Iran,0,122,0%,8.02
Sweden,0,114,0%,29.07
Kazakhstan,0,109,0%,33.32
Bulgaria,0,98,0%,29.26
Venezuela,0,91,0%,25.41
Jamaica,0,86,0%,11.44
Austria,0,85,0%,28.87
Hungary,0,85,0%,39.75
Serbia,0,82,0%,28.34
Czechia,0,79,0%,29.46
Belgium,0,76,0%,20.21
Tunisia,0,68,0%,26.56
Costa Rica,0,66,0%,15.08
Guatemala,0,64,0%,20.47
Denmark,0,63,0%,23.43
Paraguay,0,58,0%,21.52
Uzbekistan,0,57,0%,33.33
El Salvador,0,55,0%,10.2
Norway,0,54,0%,24.31
Iraq,0,48,0%,14.42
Nepal,0,47,0%,26.13
Croatia,0,45,0%,29.78
Bolivia,0,45,0%,30.04
Azerbaijan,0,44,0%,35.95
Honduras,0,43,0%,17.98
Slovakia,0,43,0%,29.91
Malawi,0,42,0%,8.31
Trinidad & Tobago,0,41,0%,14.98
Uruguay,0,40,0%,18.7
Jordan,0,40,0%,29.12
Estonia,0,38,0%,23
Panama,0,37,0%,24.16
Lithuania,0,36,0%,34.11
Georgia,0,34,0%,24.06
Albania,0,33,0%,34.85
Afghanistan,0,33,0%,35.67
Ethiopia,0,31,0%,23.77
Oman,0,31,0%,34.19
Senegal,0,31,0%,38.32
Bosnia & Herzegovina,0,30,0%,24.3
Latvia,0,30,0%,28.23
Cuba,0,29,0%,9.93
Belarus,0,29,0%,10.34
Nicaragua,0,29,0%,16.52
Qatar,0,29,0%,18.79
Belize,0,27,0%,12.78
Uganda,0,27,0%,19.48
Armenia,0,26,0%,15.12
Sri Lanka,0,26,0%,25.46
Moldova,0,26,0%,30.04
Ghana,0,25,0%,17.84
Kuwait,0,25,0%,33.36
Myanmar (Burma),0,24,0%,29.33
Palestine,0,23,0%,14.91
Cyprus,0,22,0%,28.14
Lebanon,0,21,0%,5.43
Slovenia,0,20,0%,23.95
Cambodia,0,20,0%,27.8
Macedonia,0,19,0%,28
Mongolia,0,19,0%,33.89
Burkina Faso,0,19,0%,35.26
