Top queries,Clicks,Impressions,CTR,Position
8662290441,11,52,21.15%,1.02
2534 n broad st,6,33,18.18%,3.15
olera care,6,7,85.71%,1
ridgeview estates,5,37,13.51%,5.62
chevy chase gardens,5,22,22.73%,4.64
harmony at greenwood,5,11,45.45%,1.55
olera,4,171,2.34%,4.84
madison crossing apartments,4,80,5%,6.65
bowie commons,4,28,14.29%,3.71
napa creek manor,3,30,10%,3.97
diamond senior apartments,3,21,14.29%,3.76
masonic care new rochelle,3,11,27.27%,6.91
eagle village bradenton florida,3,9,33.33%,2.67
budlong manor cranston ri,3,8,37.5%,2.88
diamond senior apartments dubuque,3,7,42.86%,3
does blue cross blue shield pay for in-home care,3,4,75%,2
briarwood williston nd,3,3,100%,1.67
assisted living near me,2,676,0.3%,26.34
regency at troy,2,275,0.73%,11.01
lincare houma,2,74,2.7%,6.23
presbyterian manor,2,68,2.94%,5.19
centerbridge bridgewater nj,2,57,3.51%,8.61
sacramento senior homes berkeley,2,55,3.64%,7.31
brilliant healthcare,2,50,4%,2.32
heavenly home care,2,48,4.17%,18.42
positive purpose,2,33,6.06%,5.76
blue skies home care,2,27,7.41%,6.96
baptist village cost,2,23,8.7%,6.52
maison home care,2,20,10%,2.55
cottage village apartments,2,20,10%,4.4
kennedy towers troy ny,2,19,10.53%,6.79
family tree longmont,2,18,11.11%,3.89
arp manor,2,14,14.29%,1.86
evergreen manor clifton nj,2,13,15.38%,1.92
independence manor nacogdoches,2,13,15.38%,2.85
oakhurst place,2,13,15.38%,7.85
bowie commons photos,2,12,16.67%,1.33
burt farms warwick ny,2,12,16.67%,5.33
moravia health scranton pa,2,11,18.18%,1.64
legacy manor of waterloo,2,11,18.18%,1.91
willow bend villas,2,11,18.18%,2.09
liberty terrace,2,11,18.18%,5.27
mercy home care anderson indiana,2,10,20%,8
st denis senior apartments photos,2,9,22.22%,2.22
mercy oaks village,2,9,22.22%,3.56
parkside lofts nutley nj,2,9,22.22%,4.44
silvercrest eureka,2,7,28.57%,1
alamo cove rehab and nursing center kalamazoo photos,2,6,33.33%,2
dell range senior apartments,2,6,33.33%,2.17
kendras place,2,6,33.33%,3.33
encompass home health houston,2,6,33.33%,7.17
legacy manor waterloo iowa,2,5,40%,2
gallaghers assisted living,2,5,40%,2.2
innovage senior living,2,5,40%,7
"low income senior housing gastonia, nc",2,5,40%,13.2
ridge pointe apartments,2,4,50%,2.5
morning star home health care,2,4,50%,3.25
maison home health care,2,4,50%,3.5
villas at peruque,2,4,50%,4.75
heritage residential care village,2,3,66.67%,1.33
river bluff cooperative,2,3,66.67%,1.33
silvercrest eureka ca,2,3,66.67%,2
the villas of chenal,2,3,66.67%,3
the polish connection,2,3,66.67%,3.67
2149375000,2,3,66.67%,4.67
ankar park,2,2,100%,1
nursing home pasadena,2,2,100%,1
olera.care,2,2,100%,1
monarca place middletown ct,2,2,100%,1.5
villa rita superior wi,2,2,100%,1.5
friendly care boston,2,2,100%,2
redeem center mission tx,2,2,100%,2
park meadows senior apartments,2,2,100%,4
"low income senior housing battle creek, mi",2,2,100%,9.5
consumer direct care network wa,2,2,100%,15.5
visiting angels,1,1221,0.08%,12.93
nursing homes near me,1,617,0.16%,37.27
home care services,1,470,0.21%,21.97
nursing home near me,1,438,0.23%,45.48
home health care,1,391,0.26%,19.92
assisted living facilities near me,1,201,0.5%,60.82
enhabit home health,1,126,0.79%,9.43
comfort keepers,1,125,0.8%,9.88
zahav of berwyn,1,117,0.85%,11.59
st jude nursing home,1,113,0.88%,7.78
westminster village,1,112,0.89%,40.75
help at home erie pa,1,107,0.93%,9.97
in home care near me,1,105,0.95%,29.47
wilmington nursing and rehabilitation center,1,101,0.99%,10.45
all together home care,1,97,1.03%,9.89
avir at garland,1,93,1.08%,1.49
armenian home,1,89,1.12%,7.72
shadyside assisted living,1,89,1.12%,9.36
better home health care,1,81,1.23%,12.21
raintree village lee's summit,1,80,1.25%,5.36
maulin home care services,1,73,1.37%,6.75
the ovation center,1,73,1.37%,7.03
gardenview home care,1,64,1.56%,6.02
home care agency,1,62,1.61%,22.63
aura home health,1,60,1.67%,8.9
burlingame skilled nursing,1,59,1.69%,11.2
buehler home,1,58,1.72%,5.67
unc homecare specialists,1,58,1.72%,7.84
one home care solutions,1,58,1.72%,8.55
independent senior living near me,1,58,1.72%,65.29
help at home oak lawn,1,50,2%,8.86
freestyle living yarmouth,1,45,2.22%,6.49
santiam gardens,1,43,2.33%,6.33
golden touch home health,1,43,2.33%,9.74
