Date,Affected pages
2026-02-20,19275
2026-02-21,19041
2026-02-22,19041
2026-02-23,19041
2026-02-24,21889
2026-02-25,21889
2026-02-26,21889
2026-02-27,21889
2026-02-28,21889
2026-03-01,21889
2026-03-02,21889
2026-03-03,23518
2026-03-04,23518
2026-03-05,23518
2026-03-06,23518
2026-03-07,29993
2026-03-08,29993
2026-03-09,29993
2026-03-10,25039
2026-03-11,25039
2026-03-12,25039
2026-03-13,25039
2026-03-14,25039
2026-03-15,25036
2026-03-16,25036
2026-03-17,26154
2026-03-18,26154
2026-03-19,26154
2026-03-20,26154
2026-03-21,26665
2026-03-22,26665
2026-03-23,26665
2026-03-24,29140
2026-03-25,29140
2026-03-26,29140
2026-03-27,29140
2026-03-28,29820
2026-03-29,29820
2026-03-30,29820
2026-03-31,32929
2026-04-01,32929
2026-04-02,32929
2026-04-03,32929
2026-04-04,30326
2026-04-05,30326
2026-04-06,31441
2026-04-07,31441
2026-04-08,31441
2026-04-09,31441
2026-04-10,31014
2026-04-11,31014
2026-04-12,31014
2026-04-13,34288
2026-04-14,34288
2026-04-15,34288
2026-04-16,34288
2026-04-17,34968
2026-04-18,34968
2026-04-19,34968
2026-04-20,37539
2026-04-21,37539
2026-04-22,37539
2026-04-23,37539
2026-04-24,40377
2026-04-25,40377
2026-04-26,40377
2026-04-27,49575
2026-04-28,49575
2026-04-29,49575
2026-04-30,49575
2026-05-01,52398
2026-05-02,52398
2026-05-03,52398
2026-05-04,63008
2026-05-05,63008
2026-05-06,63008
2026-05-07,63008
2026-05-08,62605
2026-05-09,62605
2026-05-10,62605
2026-05-11,66117
2026-05-12,66117
2026-05-13,66117
2026-05-14,66117
