Date,Clicks,Impressions,CTR,Position
2025-12-05,32,14752,0.22%,48.6
2025-12-06,23,15115,0.15%,51.3
2025-12-07,23,12868,0.18%,48
2025-12-08,27,12278,0.22%,48
2025-12-09,33,16349,0.2%,51
2025-12-10,29,15142,0.19%,50.1
2025-12-11,25,14043,0.18%,50
2025-12-12,15,12872,0.12%,49.5
2025-12-13,16,12720,0.13%,50.8
2025-12-14,19,14654,0.13%,50.1
2025-12-15,24,13052,0.18%,48.4
2025-12-16,24,15638,0.15%,50.4
2025-12-17,29,12452,0.23%,45.5
2025-12-18,24,15939,0.15%,48.6
2025-12-19,21,12281,0.17%,47.5
2025-12-20,19,12463,0.15%,50.1
2025-12-21,11,13132,0.08%,50
2025-12-22,23,12409,0.19%,47.9
2025-12-23,29,14638,0.2%,51.5
2025-12-24,10,13325,0.08%,52.2
2025-12-25,10,12989,0.08%,49
2025-12-26,21,10406,0.2%,46.5
2025-12-27,19,11608,0.16%,48.7
2025-12-28,20,13520,0.15%,49.6
2025-12-29,35,12551,0.28%,46.9
2025-12-30,26,14216,0.18%,49.1
2025-12-31,22,16386,0.13%,49.9
2026-01-01,18,16167,0.11%,43.6
2026-01-02,32,14045,0.23%,48.2
2026-01-03,26,12834,0.2%,46
2026-01-04,23,14225,0.16%,48.7
2026-01-05,44,13385,0.33%,47.5
2026-01-06,30,12215,0.25%,43.7
2026-01-07,50,15627,0.32%,48.2
2026-01-08,39,19708,0.2%,53.4
2026-01-09,32,14678,0.22%,51.1
2026-01-10,23,14410,0.16%,51.2
2026-01-11,20,16015,0.12%,48.6
2026-01-12,35,128407,0.03%,7.7
2026-01-13,42,15834,0.27%,46.5
2026-01-14,35,15415,0.23%,50.3
2026-01-15,31,12235,0.25%,42.1
2026-01-16,36,12293,0.29%,46.5
2026-01-17,28,11946,0.23%,46.1
2026-01-18,17,12981,0.13%,46.7
2026-01-19,24,13294,0.18%,47
2026-01-20,30,12622,0.24%,43.7
2026-01-21,25,13376,0.19%,46
2026-01-22,21,13647,0.15%,46
2026-01-23,28,9871,0.28%,39.8
2026-01-24,16,12521,0.13%,43.4
2026-01-25,15,13844,0.11%,43.2
2026-01-26,44,13684,0.32%,42.4
2026-01-27,37,15140,0.24%,43.1
2026-01-28,30,14284,0.21%,45.7
2026-01-29,31,12179,0.25%,45.8
2026-01-30,23,11178,0.21%,43.1
2026-01-31,20,11951,0.17%,43
2026-02-01,18,15099,0.12%,39.7
2026-02-02,34,13633,0.25%,40.3
2026-02-03,33,14103,0.23%,42.4
2026-02-04,28,13183,0.21%,42.8
2026-02-05,33,11587,0.28%,39.8
2026-02-06,17,9898,0.17%,38.6
2026-02-07,11,8618,0.13%,32.9
2026-02-08,14,10807,0.13%,39.7
2026-02-09,30,10251,0.29%,38.9
2026-02-10,32,12771,0.25%,42.1
2026-02-11,26,12164,0.21%,39.9
2026-02-12,23,11552,0.2%,40.5
2026-02-13,29,9700,0.3%,35.9
2026-02-14,22,10072,0.22%,39.4
2026-02-15,16,10344,0.15%,46.1
2026-02-16,37,11381,0.33%,40.7
2026-02-17,35,10622,0.33%,41.7
2026-02-18,25,10974,0.23%,43.4
2026-02-19,26,10850,0.24%,39.3
2026-02-20,32,8404,0.38%,38.5
2026-02-21,25,8382,0.3%,41.3
2026-02-22,20,9126,0.22%,41.6
2026-02-23,38,8819,0.43%,36.9
2026-02-24,37,10861,0.34%,40.2
2026-02-25,34,8869,0.38%,41.1
2026-02-26,32,8495,0.38%,40.1
2026-02-27,14,8018,0.17%,39.2
2026-02-28,17,7397,0.23%,41.7
2026-03-01,14,8788,0.16%,41.8
2026-03-02,25,7154,0.35%,37.4
2026-03-03,23,7558,0.3%,37.3
2026-03-04,26,8553,0.3%,41.9
