Country,Clicks,Impressions,CTR,Position
United States,373,1117246,0.03%,49.17
Poland,9,346,2.6%,20.73
India,5,2693,0.19%,26.64
United Kingdom,3,5734,0.05%,37.94
Philippines,3,926,0.32%,30.29
Spain,3,655,0.46%,36.77
South Africa,3,406,0.74%,23.51
Pakistan,3,351,0.85%,26.83
Canada,2,2666,0.08%,18.39
Mexico,2,1184,0.17%,26.67
Singapore,2,289,0.69%,24.25
Germany,1,3395,0.03%,41.61
Ireland,1,3088,0.03%,42.83
Australia,1,728,0.14%,43.76
South Korea,1,715,0.14%,19.41
Russia,1,665,0.15%,18.37
Taiwan,1,395,0.25%,13.5
Egypt,1,326,0.31%,36.18
Peru,1,253,0.4%,32.57
Japan,1,251,0.4%,33.24
Netherlands,1,206,0.49%,26.75
Nigeria,1,172,0.58%,18.47
Greece,1,114,0.88%,39.59
Ethiopia,1,56,1.79%,30.46
Slovakia,1,34,2.94%,26.94
Guam,1,9,11.11%,13.78
Brazil,0,2150,0%,44.31
Indonesia,0,1228,0%,23.18
Switzerland,0,1185,0%,42.25
Vietnam,0,1075,0%,35.4
Italy,0,510,0%,46.5
France,0,462,0%,34.61
Turkey,0,443,0%,35.06
Argentina,0,391,0%,40.62
Colombia,0,376,0%,38.7
Thailand,0,346,0%,36.17
China,0,335,0%,4.65
Bangladesh,0,325,0%,28.3
Saudi Arabia,0,317,0%,42.11
Romania,0,299,0%,17.91
Malaysia,0,281,0%,24.53
Ukraine,0,234,0%,29.83
Ecuador,0,234,0%,36.42
Algeria,0,203,0%,35.91
Hong Kong,0,199,0%,9.68
Chile,0,188,0%,36.13
Venezuela,0,181,0%,32.83
United Arab Emirates,0,177,0%,30.5
Morocco,0,168,0%,43.53
Kenya,0,153,0%,13.42
Sweden,0,144,0%,32.97
Belgium,0,139,0%,20.08
Israel,0,135,0%,28.68
Hungary,0,126,0%,24.71
New Zealand,0,124,0%,20.7
Portugal,0,124,0%,36.6
Dominican Republic,0,121,0%,23.74
Czechia,0,106,0%,28.53
Kazakhstan,0,106,0%,45.57
Serbia,0,104,0%,31.77
Puerto Rico,0,94,0%,9.29
Iran,0,92,0%,9.28
Iraq,0,90,0%,28.78
Jordan,0,81,0%,37.12
Bulgaria,0,80,0%,41.1
Norway,0,75,0%,22.2
Belarus,0,74,0%,23.65
Oman,0,73,0%,29.86
Tunisia,0,70,0%,30.96
Guatemala,0,69,0%,32.01
Nepal,0,68,0%,26.1
Denmark,0,64,0%,32.08
Georgia,0,59,0%,28.58
Austria,0,59,0%,41.29
Costa Rica,0,56,0%,33.23
Lithuania,0,52,0%,22.48
Unknown Region,0,51,0%,20.57
Myanmar (Burma),0,50,0%,26.6
Cambodia,0,46,0%,18.5
Azerbaijan,0,45,0%,30.82
Sri Lanka,0,44,0%,24.18
Jamaica,0,43,0%,10.23
Finland,0,41,0%,23.8
El Salvador,0,41,0%,28.17
Trinidad & Tobago,0,40,0%,17.43
Croatia,0,39,0%,29.1
Bolivia,0,38,0%,51
Ghana,0,37,0%,25.43
Honduras,0,37,0%,31.49
Côte d’Ivoire,0,36,0%,43.11
Latvia,0,35,0%,34.14
Uruguay,0,35,0%,39.6
Uzbekistan,0,34,0%,51.88
Panama,0,33,0%,27.58
Albania,0,33,0%,36.61
Moldova,0,31,0%,35.19
Bosnia & Herzegovina,0,30,0%,24.3
Paraguay,0,28,0%,39.86
Bahamas,0,27,0%,7.26
Kuwait,0,27,0%,35.19
Brunei,0,26,0%,12.35
Tanzania,0,25,0%,21
Slovenia,0,24,0%,34.71
Senegal,0,22,0%,40.36
Angola,0,21,0%,28.05
Armenia,0,20,0%,31.6
Cyprus,0,20,0%,46.95
Palestine,0,19,0%,30.47
Lebanon,0,18,0%,19.11
Mongolia,0,18,0%,30.89
Macedonia,0,18,0%,39.06
Qatar,0,18,0%,49.56
Somalia,0,17,0%,6.65
Macau,0,17,0%,10.47
Cameroon,0,16,0%,24.31
Botswana,0,15,0%,12
Benin,0,15,0%,14.07
Cuba,0,15,0%,21.07
Syria,0,15,0%,25.2
Uganda,0,15,0%,28.6
Réunion,0,14,0%,25.86
Estonia,0,14,0%,35.21
Rwanda,0,13,0%,18.92
Belize,0,13,0%,22.77
Libya,0,13,0%,43.38
Togo,0,13,0%,45.08
Nicaragua,0,13,0%,45.23
Congo - Kinshasa,0,11,0%,20.36
Zambia,0,11,0%,29
Bahrain,0,11,0%,33.64
Burkina Faso,0,11,0%,59.27
Haiti,0,10,0%,21.2
Barbados,0,10,0%,25.8
Afghanistan,0,9,0%,7.22
Andorra,0,9,0%,17.67
Kyrgyzstan,0,9,0%,24.22
Gabon,0,9,0%,38.22
Congo - Brazzaville,0,9,0%,48.22
Seychelles,0,8,0%,21
Zimbabwe,0,8,0%,22.12
Iceland,0,8,0%,39.5
Curaçao,0,7,0%,11.14
Kosovo,0,7,0%,25.29
Mauritius,0,7,0%,28.14
St. Kitts & Nevis,0,6,0%,2.83
Åland Islands,0,6,0%,4.67
Isle of Man,0,6,0%,7.83
Laos,0,6,0%,12.67
